"ISSN","Category"
"19983689","Ophthalmology"
"03014738","Ophthalmology"
"14710307","Bioengineering"
"14710307","Food Science"
"14710307","Process Chemistry and Technology"
"1364727X","Bioengineering"
"1364727X","Food Science"
"1364727X","Process Chemistry and Technology"
"25424823","Clinical Psychology"
"25424823","Psychiatry and Mental Health"
"25424823","Geriatrics and Gerontology"
"25424823","Neuroscience"
"20486790","Food Science"
"20486790","Nutrition and Dietetics"
"20486790","Endocrinology, Diabetes and Metabolism"
"10118942","Ophthalmology"
"02668920","Aerospace Engineering"
"02668920","Civil and Structural Engineering"
"02668920","Condensed Matter Physics"
"02668920","Mechanical Engineering"
"02668920","Nuclear Energy and Engineering"
"02668920","Ocean Engineering"
"02668920","Statistical and Nonlinear Physics"
"18784275","Aerospace Engineering"
"18784275","Civil and Structural Engineering"
"18784275","Condensed Matter Physics"
"18784275","Mechanical Engineering"
"18784275","Nuclear Energy and Engineering"
"18784275","Ocean Engineering"
"18784275","Statistical and Nonlinear Physics"
"10590889","Speech and Hearing"
"15589137","Speech and Hearing"
"20961758","Aquatic Science"
"20961758","Ecology"
"20961758","Ecology, Evolution, Behavior and Systematics"
"2468550X","Aquatic Science"
"2468550X","Ecology"
"2468550X","Ecology, Evolution, Behavior and Systematics"
"1467873X","Education"
"03626784","Education"
"1878013X","Emergency Nursing"
"1755599X","Emergency Nursing"
"17421241","Medicine"
"13685031","Medicine"
"25166034","Social Sciences"
"25166034","Development"
"25166026","Social Sciences"
"25166026","Development"
"14645211","Applied Mathematics"
"14645211","Education"
"14645211","Mathematics"
"0020739X","Applied Mathematics"
"0020739X","Education"
"0020739X","Mathematics"
"15524973","Biomedical Engineering"
"15524973","Biomaterials"
"15524981","Biomedical Engineering"
"15524981","Biomaterials"
"15371921","Anesthesiology and Pain Medicine"
"15371921","Surgery"
"15371921","Neurology"
"08984921","Anesthesiology and Pain Medicine"
"08984921","Surgery"
"08984921","Neurology"
"19407963","Geography, Planning and Development"
"19407963","Tourism, Leisure and Hospitality Management"
"19407971","Geography, Planning and Development"
"19407971","Tourism, Leisure and Hospitality Management"
"0895562X","Social Sciences"
"0895562X","Business and International Management"
"0895562X","Economics and Econometrics"
"15730441","Social Sciences"
"15730441","Business and International Management"
"15730441","Economics and Econometrics"
"10910344","Industrial and Manufacturing Engineering"
"10910344","Materials Science"
"10910344","Mechanical Engineering"
"15322483","Industrial and Manufacturing Engineering"
"15322483","Materials Science"
"15322483","Mechanical Engineering"
"18556531","Industrial and Manufacturing Engineering"
"18556531","Management of Technology and Innovation"
"18556531","Management Science and Operations Research"
"18556531","Mechanical Engineering"
"18556531","Nuclear and High Energy Physics"
"18546250","Industrial and Manufacturing Engineering"
"18546250","Management of Technology and Innovation"
"18546250","Management Science and Operations Research"
"18546250","Mechanical Engineering"
"18546250","Nuclear and High Energy Physics"
"27650235","Animal Science and Zoology"
"27650235","Veterinary"
"27650235","Food Science"
"27650235","Genetics"
"27650235","Physiology"
"27650189","Animal Science and Zoology"
"27650189","Veterinary"
"27650189","Food Science"
"27650189","Genetics"
"27650189","Physiology"
"21512485","Animal Science and Zoology"
"21512485","Biochemistry, Genetics and Molecular Biology"
"19768354","Animal Science and Zoology"
"19768354","Biochemistry, Genetics and Molecular Biology"
"15667367","Catalysis"
"15667367","Chemistry"
"15667367","Process Chemistry and Technology"
"10760296","Hematology"
"10760296","Medicine"
"19382723","Hematology"
"19382723","Medicine"
"18666299","Earth-Surface Processes"
"18666299","Environmental Chemistry"
"18666299","Geology"
"18666299","Pollution"
"18666299","Soil Science"
"18666299","Water Science and Technology"
"18666299","Global and Planetary Change"
"18666280","Earth-Surface Processes"
"18666280","Environmental Chemistry"
"18666280","Geology"
"18666280","Pollution"
"18666280","Soil Science"
"18666280","Water Science and Technology"
"18666280","Global and Planetary Change"
"16000579","Dentistry"
"16000579","Education"
"13965883","Dentistry"
"13965883","Education"
"2772753X","Food Science"
"2772753X","Organic Chemistry"
"11093099","Medicine"
"11093099","Endocrinology, Diabetes and Metabolism"
"25208721","Medicine"
"25208721","Endocrinology, Diabetes and Metabolism"
"08878013","Medical Laboratory Technology"
"08878013","Biochemistry"
"08878013","Clinical Biochemistry"
"08878013","Hematology"
"08878013","Microbiology"
"08878013","Public Health, Environmental and Occupational Health"
"08878013","Immunology and Allergy"
"10982825","Medical Laboratory Technology"
"10982825","Biochemistry"
"10982825","Clinical Biochemistry"
"10982825","Hematology"
"10982825","Microbiology"
"10982825","Public Health, Environmental and Occupational Health"
"10982825","Immunology and Allergy"
"20585543","Urban Studies"
"20585543","Ecology"
"14735636","Dermatology"
"14735636","Cancer Research"
"14735636","Oncology"
"09608931","Dermatology"
"09608931","Cancer Research"
"09608931","Oncology"
"10735615","Metals and Alloys"
"10735615","Condensed Matter Physics"
"10735615","Materials Chemistry"
"10735615","Mechanics of Materials"
"15431916","Metals and Alloys"
"15431916","Condensed Matter Physics"
"15431916","Materials Chemistry"
"15431916","Mechanics of Materials"
"23249269","Genetics"
"23249269","Genetics"
"23249269","Molecular Biology"
"20394403","Nursing"
"2039439X","Nursing"
"17494001","Sociology and Political Science"
"00344893","Sociology and Political Science"
"18362206","Law"
"08178542","Law"
"01722190","Library and Information Sciences"
"01722190","Bioengineering"
"01722190","Computer Science Applications"
"01722190","Energy Engineering and Power Technology"
"01722190","Fuel Technology"
"01722190","Process Chemistry and Technology"
"01722190","Renewable Energy, Sustainability and the Environment"
"14767503","Sociology and Political Science"
"14767503","Organizational Behavior and Human Resource Management"
"14767503","Strategy and Management"
"19432755","Health"
"19432755","Infectious Diseases"
"19432755","Medicine"
"19432755","Public Health, Environmental and Occupational Health"
"08999546","Health"
"08999546","Infectious Diseases"
"08999546","Medicine"
"08999546","Public Health, Environmental and Occupational Health"
"09288910","Software"
"15737535","Software"
"1476718X","Developmental and Educational Psychology"
"1476718X","Education"
"1476718X","Health"
"17412927","Developmental and Educational Psychology"
"17412927","Education"
"17412927","Health"
"20436238","Economics, Econometrics and Finance"
"20436238","Strategy and Management"
"20436246","Economics, Econometrics and Finance"
"20436246","Strategy and Management"
"15286916","Religious Studies"
"15286916","Clinical Psychology"
"15286916","Health"
"08854726","Religious Studies"
"08854726","Clinical Psychology"
"08854726","Health"
"14793261","Veterinary"
"14764431","Veterinary"
"15564711","Conservation"
"15564711","Computer Graphics and Computer-Aided Design"
"15564711","Computer Science Applications"
"15564711","Information Systems"
"15564673","Conservation"
"15564673","Computer Graphics and Computer-Aided Design"
"15564673","Computer Science Applications"
"15564673","Information Systems"
"09639314","Media Technology"
"09639314","Safety, Risk, Reliability and Quality"
"09639314","Software"
"15731367","Media Technology"
"15731367","Safety, Risk, Reliability and Quality"
"15731367","Software"
"10284559","Obstetrics and Gynecology"
"18756263","Obstetrics and Gynecology"
"10184864","Electrical and Electronic Engineering"
"15729451","Electrical and Electronic Engineering"
"03650340","Agronomy and Crop Science"
"03650340","Soil Science"
"14763567","Agronomy and Crop Science"
"14763567","Soil Science"
"25891375","Emergency Nursing"
"2588994X","Emergency Nursing"
"2045435X","Medical and Surgical Nursing"
"2045435X","Medicine"
"2045435X","Oncology"
"20454368","Medical and Surgical Nursing"
"20454368","Medicine"
"20454368","Oncology"
"15579832","Biochemistry"
"15579832","Clinical Biochemistry"
"02722712","Biochemistry"
"02722712","Clinical Biochemistry"
"15730662","Environmental Chemistry"
"15730662","Atmospheric Science"
"01677764","Environmental Chemistry"
"01677764","Atmospheric Science"
"15406997","Marketing"
"10495142","Marketing"
"09574484","Bioengineering"
"09574484","Chemistry"
"09574484","Electrical and Electronic Engineering"
"09574484","Materials Science"
"09574484","Mechanical Engineering"
"09574484","Mechanics of Materials"
"09574484","Nanoscience and Nanotechnology"
"13616528","Bioengineering"
"13616528","Chemistry"
"13616528","Electrical and Electronic Engineering"
"13616528","Materials Science"
"13616528","Mechanical Engineering"
"13616528","Mechanics of Materials"
"13616528","Nanoscience and Nanotechnology"
"20954697","Applied Mathematics"
"20954697","Biochemistry, Genetics and Molecular Biology"
"20954697","Computer Science Applications"
"20954697","Modeling and Simulation"
"20954689","Applied Mathematics"
"20954689","Biochemistry, Genetics and Molecular Biology"
"20954689","Computer Science Applications"
"20954689","Modeling and Simulation"
"19300166","Engineering"
"19300166","Management of Technology and Innovation"
"19300166","Strategy and Management"
"08956308","Engineering"
"08956308","Management of Technology and Innovation"
"08956308","Strategy and Management"
"03056244","Political Science and International Relations"
"03056244","Development"
"03056244","Geography, Planning and Development"
"17401720","Political Science and International Relations"
"17401720","Development"
"17401720","Geography, Planning and Development"
"11345764","Discrete Mathematics and Combinatorics"
"11345764","Information Systems and Management"
"11345764","Management Science and Operations Research"
"11345764","Modeling and Simulation"
"11345764","Statistics and Probability"
"18638279","Discrete Mathematics and Combinatorics"
"18638279","Information Systems and Management"
"18638279","Management Science and Operations Research"
"18638279","Modeling and Simulation"
"18638279","Statistics and Probability"
"15396304","Medicine"
"15396304","Pulmonary and Respiratory Medicine"
"15396304","Immunology and Allergy"
"10885412","Medicine"
"10885412","Pulmonary and Respiratory Medicine"
"10885412","Immunology and Allergy"
"1479828X","Medicine"
"1479828X","Obstetrics and Gynecology"
"00048666","Medicine"
"00048666","Obstetrics and Gynecology"
"15314332","Animal Science and Zoology"
"15314332","Aquatic Science"
"15314332","Biochemistry"
"15314332","Molecular Biology"
"15314332","Physiology"
"10956433","Animal Science and Zoology"
"10956433","Aquatic Science"
"10956433","Biochemistry"
"10956433","Molecular Biology"
"10956433","Physiology"
"14708914","Political Science and International Relations"
"14708914","Sociology and Political Science"
"14769336","Political Science and International Relations"
"14769336","Sociology and Political Science"
"15671364","Applied Microbiology and Biotechnology"
"15671364","Medicine"
"15671364","Microbiology"
"15671356","Applied Microbiology and Biotechnology"
"15671356","Medicine"
"15671356","Microbiology"
"14738724","Computer Vision and Pattern Recognition"
"14738716","Computer Vision and Pattern Recognition"
"00220981","Aquatic Science"
"00220981","Ecology, Evolution, Behavior and Systematics"
"00219142","Aerospace Engineering"
"00219142","Space and Planetary Science"
"21950571","Aerospace Engineering"
"21950571","Space and Planetary Science"
"24750387","Social Psychology"
"16986946","Dentistry"
"16986946","Medicine"
"16986946","Otorhinolaryngology"
"16986946","Surgery"
"16984447","Dentistry"
"16984447","Medicine"
"16984447","Otorhinolaryngology"
"16984447","Surgery"
"21630402","Neurology"
"21630933","Neurology"
"14681366","Cultural Studies"
"14681366","Education"
"00812463","Psychology"
"2078208X","Psychology"
"15728374","Linguistics and Language"
"15728374","Philosophy"
"0920427X","Linguistics and Language"
"0920427X","Philosophy"
"08465371","Medicine"
"08465371","Radiology, Nuclear Medicine and Imaging"
"14882361","Medicine"
"14882361","Radiology, Nuclear Medicine and Imaging"
"14355558","Philosophy"
"14355558","Computer Science Applications"
"14355558","Human-Computer Interaction"
"14355566","Philosophy"
"14355566","Computer Science Applications"
"14355566","Human-Computer Interaction"
"25382128","Control and Optimization"
"25382128","Discrete Mathematics and Combinatorics"
"25382136","Control and Optimization"
"25382136","Discrete Mathematics and Combinatorics"
"01419382","Electrical and Electronic Engineering"
"01419382","Hardware and Architecture"
"01419382","Human-Computer Interaction"
"20004508","Sociology and Political Science"
"20004508","Education"
"20004508","Public Administration"
"15728099","Materials Science"
"15728099","Safety, Risk, Reliability and Quality"
"00152684","Materials Science"
"00152684","Safety, Risk, Reliability and Quality"
"25724754","Biochemistry, Genetics and Molecular Biology"
"25724754","Health Policy"
"25724754","Immunology and Microbiology"
"25724754","Medicine"
"25724754","Public Health, Environmental and Occupational Health"
"15729893","Geography, Planning and Development"
"03432521","Geography, Planning and Development"
"15699811","Linguistics and Language"
"13846655","Linguistics and Language"
"20416695","Ophthalmology"
"20416695","Artificial Intelligence"
"20416695","Experimental and Cognitive Psychology"
"20416695","Sensory Systems"
"2366049X","Social Sciences"
"2366049X","Business, Management and Accounting"
"2366049X","Economics and Econometrics"
"00214027","Social Sciences"
"00214027","Business, Management and Accounting"
"00214027","Economics and Econometrics"
"27550230","Biochemistry, Genetics and Molecular Biology"
"27550230","Biochemistry"
"27550230","Cell Biology"
"27550230","Endocrinology, Diabetes and Metabolism"
"20972555","Biochemistry, Genetics and Molecular Biology"
"20972555","Biochemistry"
"20972555","Cell Biology"
"20972555","Endocrinology, Diabetes and Metabolism"
"14735873","Psychiatry and Mental Health"
"14735873","Biological Psychiatry"
"14735873","Genetics"
"14735873","Genetics"
"09558829","Psychiatry and Mental Health"
"09558829","Biological Psychiatry"
"09558829","Genetics"
"09558829","Genetics"
"00382876","Cultural Studies"
"00382876","Literature and Literary Theory"
"00382876","Sociology and Political Science"
"21683565","Agronomy and Crop Science"
"21683565","Development"
"21683565","Renewable Energy, Sustainability and the Environment"
"21683573","Agronomy and Crop Science"
"21683573","Development"
"21683573","Renewable Energy, Sustainability and the Environment"
"1309517X","Education"
"1309517X","Management of Technology and Innovation"
"16745507","Animal Science and Zoology"
"1099095X","Ecological Modeling"
"1099095X","Statistics and Probability"
"11804009","Ecological Modeling"
"11804009","Statistics and Probability"
"20469012","Business, Management and Accounting"
"20469012","Education"
"20469012","Organizational Behavior and Human Resource Management"
"20469020","Business, Management and Accounting"
"20469020","Education"
"20469020","Organizational Behavior and Human Resource Management"
"23833866","Agricultural and Biological Sciences"
"23833866","Social Sciences"
"23833866","Environmental Engineering"
"23833866","Environmental Science"
"23833866","Pollution"
"23833866","Waste Management and Disposal"
"23833572","Agricultural and Biological Sciences"
"23833572","Social Sciences"
"23833572","Environmental Engineering"
"23833572","Environmental Science"
"23833572","Pollution"
"23833572","Waste Management and Disposal"
"2093369X","Biomedical Engineering"
"2093369X","Health Informatics"
"2093369X","Health Information Management"
"20933681","Biomedical Engineering"
"20933681","Health Informatics"
"20933681","Health Information Management"
"01679457","Biophysics"
"01679457","Medicine"
"01679457","Orthopedics and Sports Medicine"
"01679457","Experimental and Cognitive Psychology"
"01679457","Sports Science"
"18727646","Biophysics"
"18727646","Medicine"
"18727646","Orthopedics and Sports Medicine"
"18727646","Experimental and Cognitive Psychology"
"18727646","Sports Science"
"13668250","Arts and Humanities"
"13668250","Education"
"13668250","Medicine"
"13668250","Psychology"
"14699532","Arts and Humanities"
"14699532","Education"
"14699532","Medicine"
"14699532","Psychology"
"14676435","Arts and Humanities"
"14676435","Economics and Econometrics"
"00235962","Arts and Humanities"
"00235962","Economics and Econometrics"
"10739688","Cardiology and Cardiovascular Medicine"
"10739688","Molecular Biology"
"10739688","Physiology"
"10739688","Physiology"
"15498719","Cardiology and Cardiovascular Medicine"
"15498719","Molecular Biology"
"15498719","Physiology"
"15498719","Physiology"
"17512271","Developmental and Educational Psychology"
"17512271","Education"
"17512271","Cognitive Neuroscience"
"17512271","Experimental and Cognitive Psychology"
"1751228X","Developmental and Educational Psychology"
"1751228X","Education"
"1751228X","Cognitive Neuroscience"
"1751228X","Experimental and Cognitive Psychology"
"16438876","Obstetrics and Gynecology"
"16438876","Endocrinology, Diabetes and Metabolism"
"15427617","Developmental and Educational Psychology"
"15427617","Social Psychology"
"15427609","Developmental and Educational Psychology"
"15427609","Social Psychology"
"15443973","Hardware and Architecture"
"15443973","Information Systems"
"15443973","Software"
"15443566","Hardware and Architecture"
"15443566","Information Systems"
"15443566","Software"
"02636174","Chemical Engineering"
"02636174","Chemistry"
"02636174","Surfaces and Interfaces"
"20734433","Environmental Science"
"20734433","Atmospheric Science"
"26622033","Algebra and Number Theory"
"26622033","Analysis"
"17358787","Algebra and Number Theory"
"17358787","Analysis"
"23065354","Bioengineering"
"27306852","Urban Studies"
"27306852","Computer Science Applications"
"27306852","Environmental Science"
"27306852","Artificial Intelligence"
"21530785","Applied Mathematics"
"21530785","Computational Mathematics"
"21530785","Computational Theory and Mathematics"
"21530785","Computer Graphics and Computer-Aided Design"
"21530785","Computer Science Applications"
"21530785","Economics and Econometrics"
"21530785","Statistics and Probability"
"21530793","Applied Mathematics"
"21530793","Computational Mathematics"
"21530793","Computational Theory and Mathematics"
"21530793","Computer Graphics and Computer-Aided Design"
"21530793","Computer Science Applications"
"21530793","Economics and Econometrics"
"21530793","Statistics and Probability"
"16187229","Chemical Engineering"
"16187229","Physical and Theoretical Chemistry"
"16187229","Polymers and Plastics"
"2504284X","Education"
"26733153","Family Practice"
"26733153","Obstetrics and Gynecology"
"26733153","Reproductive Medicine"
"26733153","Epidemiology"
"18684874","Economics, Econometrics and Finance"
"18684874","Political Science and International Relations"
"18684874","Sociology and Political Science"
"1064119X","Geotechnical Engineering and Engineering Geology"
"1064119X","Ocean Engineering"
"1064119X","Oceanography"
"15210618","Geotechnical Engineering and Engineering Geology"
"15210618","Ocean Engineering"
"15210618","Oceanography"
"14365081","Mathematics"
"00269255","Mathematics"
"01635581","Medicine"
"01635581","Nutrition and Dietetics"
"01635581","Cancer Research"
"01635581","Oncology"
"15327914","Medicine"
"15327914","Nutrition and Dietetics"
"15327914","Cancer Research"
"15327914","Oncology"
"22104291","Chemical Engineering"
"22104291","Condensed Matter Physics"
"22104291","Materials Science"
"16742001","Chemical Engineering"
"16742001","Condensed Matter Physics"
"16742001","Materials Science"
"20958927","Geochemistry and Petrology"
"10000569","Geochemistry and Petrology"
"20763387","Business, Management and Accounting"
"1869215X","Aquatic Science"
"1869215X","Management, Monitoring, Policy and Law"
"1869215X","Water Science and Technology"
"18697534","Aquatic Science"
"18697534","Management, Monitoring, Policy and Law"
"18697534","Water Science and Technology"
"14226421","Anatomy"
"14226421","Histology"
"14226405","Anatomy"
"14226405","Histology"
"21607648","Pharmaceutical Science"
"21607648","Pharmacology"
"2160763X","Pharmaceutical Science"
"2160763X","Pharmacology"
"18790070","Infectious Diseases"
"18790070","Medicine"
"18790070","Microbiology"
"07328893","Infectious Diseases"
"07328893","Medicine"
"07328893","Microbiology"
"11101768","Agronomy and Crop Science"
"11101768","Insect Science"
"11101768","Ecology"
"11101768","Plant Science"
"25369342","Agronomy and Crop Science"
"25369342","Insect Science"
"25369342","Ecology"
"25369342","Plant Science"
"24749508","Ecology"
"24749508","Geology"
"24749508","Nature and Landscape Conservation"
"17474965","Education"
"03323315","Education"
"14602393","Medicine"
"14602725","Medicine"
"09262040","Chemistry"
"09262040","Instrumentation"
"09262040","Nuclear and High Energy Physics"
"09262040","Radiation"
"15273326","Chemistry"
"15273326","Instrumentation"
"15273326","Nuclear and High Energy Physics"
"15273326","Radiation"
"21612234","Philosophy"
"00025232","Algebra and Number Theory"
"00025232","Analysis"
"00025232","Logic"
"20503806","Library and Information Sciences"
"20503806","Information Systems"
"20503814","Library and Information Sciences"
"20503814","Information Systems"
"15608115","Drug Discovery"
"15608115","Medicine"
"15608115","Pharmacology"
"20082231","Drug Discovery"
"20082231","Medicine"
"20082231","Pharmacology"
"21909741","Economics and Econometrics"
"21909741","Statistics and Probability"
"21909741","Statistics, Probability and Uncertainty"
"21909733","Economics and Econometrics"
"21909733","Statistics and Probability"
"21909733","Statistics, Probability and Uncertainty"
"15733394","Health Policy"
"15733394","Health"
"15733394","Issues, Ethics and Legal Aspects"
"10653058","Health Policy"
"10653058","Health"
"10653058","Issues, Ethics and Legal Aspects"
"17518660","Electrical and Electronic Engineering"
"15372073","Advanced and Specialized Nursing"
"15372073","Neurology"
"21989753","Education"
"21989753","Mathematics"
"09610006","Library and Information Sciences"
"17416477","Library and Information Sciences"
"18738052","Arts and Humanities"
"18738052","Linguistics and Language"
"18738052","Cognitive Neuroscience"
"18738052","Experimental and Cognitive Psychology"
"09116044","Arts and Humanities"
"09116044","Linguistics and Language"
"09116044","Cognitive Neuroscience"
"09116044","Experimental and Cognitive Psychology"
"00238309","Linguistics and Language"
"00238309","Sociology and Political Science"
"00238309","Medicine"
"00238309","Speech and Hearing"
"17566053","Linguistics and Language"
"17566053","Sociology and Political Science"
"17566053","Medicine"
"17566053","Speech and Hearing"
"15700763","Education"
"15700763","Strategy and Management"
"17445043","Education"
"17445043","Strategy and Management"
"15222616","Mathematics"
"0025584X","Mathematics"
"13852000","Aerospace Engineering"
"13852000","Chemical Engineering"
"13852000","Materials Science"
"13852000","Mechanical Engineering"
"15732738","Aerospace Engineering"
"15732738","Chemical Engineering"
"15732738","Materials Science"
"15732738","Mechanical Engineering"
"26659131","Biomedical Engineering"
"26659131","Orthopedics and Sports Medicine"
"26659131","Rehabilitation"
"24055816","Energy Engineering and Power Technology"
"24055816","Fuel Technology"
"24055816","Geochemistry and Petrology"
"24055816","Geology"
"24055816","Geotechnical Engineering and Engineering Geology"
"24056561","Energy Engineering and Power Technology"
"24056561","Fuel Technology"
"24056561","Geochemistry and Petrology"
"24056561","Geology"
"24056561","Geotechnical Engineering and Engineering Geology"
"19321864","Analysis"
"19321864","Computer Science Applications"
"19321864","Information Systems"
"19321872","Analysis"
"19321872","Computer Science Applications"
"19321872","Information Systems"
"1479666X","Surgery"
"00652296","Plant Science"
"24146994","Social Sciences"
"24146994","Education"
"18583431","Social Sciences"
"18583431","Education"
"2198641X","Biochemistry"
"2198641X","Drug Discovery"
"2198641X","Pharmacology"
"2198641X","Genetics"
"1689765X","Economics, Econometrics and Finance"
"1689765X","Economics and Econometrics"
"23533293","Economics, Econometrics and Finance"
"23533293","Economics and Econometrics"
"17468809","Business and International Management"
"17468809","Business, Management and Accounting"
"17468817","Business and International Management"
"17468817","Business, Management and Accounting"
"15375315","Ecology, Evolution, Behavior and Systematics"
"15375315","Plant Science"
"10585893","Ecology, Evolution, Behavior and Systematics"
"10585893","Plant Science"
"15718883","Clinical Psychology"
"15718883","Psychiatry and Mental Health"
"15718883","Social Psychology"
"18721001","Clinical Psychology"
"18721001","Psychiatry and Mental Health"
"18721001","Social Psychology"
"02682575","Inorganic Chemistry"
"02682575","Biotechnology"
"02682575","Chemical Engineering"
"02682575","Fuel Technology"
"02682575","Organic Chemistry"
"02682575","Pollution"
"02682575","Renewable Energy, Sustainability and the Environment"
"02682575","Waste Management and Disposal"
"10974660","Inorganic Chemistry"
"10974660","Biotechnology"
"10974660","Chemical Engineering"
"10974660","Fuel Technology"
"10974660","Organic Chemistry"
"10974660","Pollution"
"10974660","Renewable Energy, Sustainability and the Environment"
"10974660","Waste Management and Disposal"
"26665352","Health Policy"
"26665352","Public Health, Environmental and Occupational Health"
"03642348","Radiology, Nuclear Medicine and Imaging"
"14322161","Radiology, Nuclear Medicine and Imaging"
"15455815","Library and Information Sciences"
"15455815","Education"
"15455815","Medicine"
"08989621","Library and Information Sciences"
"08989621","Education"
"08989621","Medicine"
"14394235","Atomic and Molecular Physics, and Optics"
"14394235","Physical and Theoretical Chemistry"
"14397641","Atomic and Molecular Physics, and Optics"
"14397641","Physical and Theoretical Chemistry"
"1607551X","Medicine"
"21678359","Agricultural and Biological Sciences"
"21678359","Biochemistry, Genetics and Molecular Biology"
"21678359","Medicine"
"21678359","Neuroscience"
"14782103","Education"
"16605527","Dermatology"
"16605527","Medicine"
"16605527","Pharmacology"
"16605527","Physiology"
"16605535","Dermatology"
"16605535","Medicine"
"16605535","Pharmacology"
"16605535","Physiology"
"17527589","Architecture"
"17527589","Building and Construction"
"17527589","Business, Management and Accounting"
"17452007","Architecture"
"17452007","Building and Construction"
"17452007","Business, Management and Accounting"
"23767642","Building and Construction"
"23767642","Civil and Structural Engineering"
"23767642","Safety, Risk, Reliability and Quality"
"22126198","Food Science"
"22126198","Organic Chemistry"
"22126198","Biochemistry"
"09592709","Animal Science and Zoology"
"09592709","Ecology"
"09592709","Nature and Landscape Conservation"
"14740001","Animal Science and Zoology"
"14740001","Ecology"
"14740001","Nature and Landscape Conservation"
"17451035","Communication"
"10510974","Communication"
"21989885","Social Psychology"
"16749847","Computers in Earth Sciences"
"16749847","Earth-Surface Processes"
"16749847","Geophysics"
"25890573","Computers in Earth Sciences"
"25890573","Earth-Surface Processes"
"25890573","Geophysics"
"02583690","Law"
"02583690","Finance"
"20491999","Law"
"20491999","Finance"
"21934134","Chemical Engineering"
"21934134","Food Science"
"21934134","Industrial and Manufacturing Engineering"
"21934134","Safety, Risk, Reliability and Quality"
"21934126","Chemical Engineering"
"21934126","Food Science"
"21934126","Industrial and Manufacturing Engineering"
"21934126","Safety, Risk, Reliability and Quality"
"19366469","Law"
"19366469","Applied Psychology"
"08820783","Law"
"08820783","Applied Psychology"
"14696053","Archeology"
"14696053","Arts and Humanities"
"20477481","Software"
"23356928","Biomedical Engineering"
"23356928","Computational Theory and Mathematics"
"23356928","Medicine"
"23356936","Biomedical Engineering"
"23356936","Computational Theory and Mathematics"
"23356936","Medicine"
"08831351","Ecology, Evolution, Behavior and Systematics"
"08831351","Paleontology"
"19385323","Ecology, Evolution, Behavior and Systematics"
"19385323","Paleontology"
"1839339X","Anthropology"
"1839339X","Archeology"
"1839339X","Archeology"
"08143021","Anthropology"
"08143021","Archeology"
"08143021","Archeology"
"00488402","Political Science and International Relations"
"00488402","Sociology and Political Science"
"18736823","Health"
"18736823","Medicine"
"18736823","Toxicology"
"18736823","Behavioral Neuroscience"
"18736823","Biochemistry"
"18736823","Neurology"
"07418329","Health"
"07418329","Medicine"
"07418329","Toxicology"
"07418329","Behavioral Neuroscience"
"07418329","Biochemistry"
"07418329","Neurology"
"10434046","Education"
"10434046","Physiology"
"15221229","Education"
"15221229","Physiology"
"0305215X","Applied Mathematics"
"0305215X","Computer Science Applications"
"0305215X","Control and Optimization"
"0305215X","Industrial and Manufacturing Engineering"
"0305215X","Management Science and Operations Research"
"10290273","Applied Mathematics"
"10290273","Computer Science Applications"
"10290273","Control and Optimization"
"10290273","Industrial and Manufacturing Engineering"
"10290273","Management Science and Operations Research"
"21907196","Applied Microbiology and Biotechnology"
"21907196","Biomedical Engineering"
"21907196","Biotechnology"
"21907196","Bioengineering"
"21907188","Applied Microbiology and Biotechnology"
"21907188","Biomedical Engineering"
"21907188","Biotechnology"
"21907188","Bioengineering"
"17156580","Health Policy"
"17156580","Public Health, Environmental and Occupational Health"
"17156572","Health Policy"
"17156572","Public Health, Environmental and Occupational Health"
"09603271","Health, Toxicology and Mutagenesis"
"09603271","Medicine"
"09603271","Toxicology"
"02681315","Pharmacology"
"02681315","Psychiatry and Mental Health"
"14735857","Pharmacology"
"14735857","Psychiatry and Mental Health"
"23083425","Pharmacology, Toxicology and Pharmaceutics"
"23083425","Pharmacology"
"09765662","Orthopedics and Sports Medicine"
"22133445","Orthopedics and Sports Medicine"
"14321351","Animal Science and Zoology"
"14321351","Ecology, Evolution, Behavior and Systematics"
"14321351","Behavioral Neuroscience"
"14321351","Physiology"
"03407594","Animal Science and Zoology"
"03407594","Ecology, Evolution, Behavior and Systematics"
"03407594","Behavioral Neuroscience"
"03407594","Physiology"
"18791700","Environmental Chemistry"
"18791700","Health, Toxicology and Mutagenesis"
"18791700","Medicine"
"18791700","Pollution"
"18791700","Waste Management and Disposal"
"0265931X","Environmental Chemistry"
"0265931X","Health, Toxicology and Mutagenesis"
"0265931X","Medicine"
"0265931X","Pollution"
"0265931X","Waste Management and Disposal"
"17477778","Industrial and Manufacturing Engineering"
"17477778","Management Science and Operations Research"
"17477778","Modeling and Simulation"
"17477778","Software"
"17477786","Industrial and Manufacturing Engineering"
"17477786","Management Science and Operations Research"
"17477786","Modeling and Simulation"
"17477786","Software"
"15411087","Medicine"
"15411087","Nutrition and Dietetics"
"07315724","Medicine"
"07315724","Nutrition and Dietetics"
"22124438","Orthodontics"
"13850172","Geometry and Topology"
"13850172","Mathematical Physics"
"15729656","Geometry and Topology"
"15729656","Mathematical Physics"
"16433750","Medicine"
"12341010","Medicine"
"07930135","Analytical Chemistry"
"23740361","Computer Science Applications"
"23740361","Discrete Mathematics and Combinatorics"
"23740361","Geometry and Topology"
"23740361","Information Systems"
"23740361","Modeling and Simulation"
"23740361","Signal Processing"
"23740353","Computer Science Applications"
"23740353","Discrete Mathematics and Combinatorics"
